LECROYWR6050A,16172,Waveform
Segments,1,SegmentSize,2502
Segment,TrigTime,TimeSinceSegment1
#1,11-Jun-2009 13:00:58,0                 
Time,Ampl
4.619591e-007,-0.124195
4.621591e-007,-0.120207
4.623591e-007,-0.114786
4.625591e-007,-0.113025
4.627591e-007,-0.116478
4.629591e-007,-0.119671
4.631591e-007,-0.118498
4.633591e-007,-0.114889
4.635591e-007,-0.112783
4.637591e-007,-0.114216
4.639591e-007,-0.116391
4.641591e-007,-0.115287
4.643591e-007,-0.113629
4.645591e-007,-0.116702
4.647591e-007,-0.122658
4.649591e-007,-0.124937
4.651591e-007,-0.121622
4.653591e-007,-0.117686
4.655591e-007,-0.117186
4.657591e-007,-0.117462
4.659591e-007,-0.11539
4.661591e-007,-0.113094
4.663591e-007,-0.11192
4.665591e-007,-0.110107
4.667591e-007,-0.109054
4.669591e-007,-0.111817
4.671591e-007,-0.116754
4.673591e-007,-0.120086
4.675591e-007,-0.120863
4.677591e-007,-0.120535
4.679591e-007,-0.120569
4.681591e-007,-0.120966
4.683591e-007,-0.121346
4.685591e-007,-0.121381
4.687591e-007,-0.119413
4.689591e-007,-0.115977
4.691591e-007,-0.115028
4.693591e-007,-0.116616
4.695591e-007,-0.117514
4.697591e-007,-0.118705
4.699591e-007,-0.121225
4.701591e-007,-0.121968
4.703591e-007,-0.120051
4.705591e-007,-0.118618
4.707591e-007,-0.120155
4.709591e-007,-0.123832
4.711591e-007,-0.125731
4.713591e-007,-0.124471
4.715591e-007,-0.122917
4.717591e-007,-0.121847
4.719591e-007,-0.120258
4.721591e-007,-0.120397
4.723591e-007,-0.123193
4.725591e-007,-0.125317
4.727591e-007,-0.123901
4.729591e-007,-0.119188
4.731591e-007,-0.114596
4.733591e-007,-0.114976
4.735591e-007,-0.120155
4.737591e-007,-0.124488
4.739591e-007,-0.125144
4.741591e-007,-0.124885
4.743591e-007,-0.126404
4.745591e-007,-0.127975
4.747591e-007,-0.126128
4.749591e-007,-0.122071
4.751591e-007,-0.1205
4.753591e-007,-0.121501
4.755591e-007,-0.121985
4.757591e-007,-0.122882
4.759591e-007,-0.125696
4.761591e-007,-0.127371
4.763591e-007,-0.125299
4.765591e-007,-0.121415
4.767591e-007,-0.119257
4.769591e-007,-0.120086
4.771591e-007,-0.120828
4.773591e-007,-0.119033
4.775591e-007,-0.117548
4.777591e-007,-0.117893
4.779591e-007,-0.118618
4.781591e-007,-0.12069
4.783591e-007,-0.122434
4.785591e-007,-0.119378
4.787591e-007,-0.114717
4.789591e-007,-0.114337
4.791591e-007,-0.116512
4.793591e-007,-0.118791
4.795591e-007,-0.122192
4.797591e-007,-0.125351
4.799591e-007,-0.125334
4.801591e-007,-0.122503
4.803591e-007,-0.119447
4.805591e-007,-0.117514
4.807591e-007,-0.115994
4.809591e-007,-0.115028
4.811591e-007,-0.116063
4.813591e-007,-0.117496
4.815591e-007,-0.11577
4.817591e-007,-0.111817
4.819591e-007,-0.109779
4.821591e-007,-0.110815
4.823591e-007,-0.112179
4.825591e-007,-0.111005
4.827591e-007,-0.108105
4.829591e-007,-0.107017
4.831591e-007,-0.107535
4.833591e-007,-0.107
4.835591e-007,-0.107155
4.837591e-007,-0.109641
4.839591e-007,-0.109883
4.841591e-007,-0.105723
4.843591e-007,-0.102753
4.845591e-007,-0.104083
4.847591e-007,-0.105723
4.849591e-007,-0.104117
4.851591e-007,-0.100233
4.853591e-007,-0.097626
4.855591e-007,-0.0982129
4.857591e-007,-0.0990934
4.859591e-007,-0.0978677
4.861591e-007,-0.0966937
4.863591e-007,-0.0965729
4.865591e-007,-0.0956924
4.867591e-007,-0.0949329
4.869591e-007,-0.0974879
4.871591e-007,-0.10265
4.873591e-007,-0.104894
4.875591e-007,-0.102546
4.877591e-007,-0.101096
4.879591e-007,-0.102701
4.881591e-007,-0.102442
4.883591e-007,-0.0994386
4.885591e-007,-0.098282
4.887591e-007,-0.0994041
4.889591e-007,-0.100181
4.891591e-007,-0.100785
4.893591e-007,-0.102322
4.895591e-007,-0.104859
4.897591e-007,-0.106206
4.899591e-007,-0.103755
4.901591e-007,-0.100595
4.903591e-007,-0.102322
4.905591e-007,-0.107708
4.907591e-007,-0.110625
4.909591e-007,-0.107863
4.911591e-007,-0.101424
4.913591e-007,-0.0966592
4.915591e-007,-0.0974361
4.917591e-007,-0.101528
4.919591e-007,-0.102788
4.921591e-007,-0.0986963
4.923591e-007,-0.0940869
4.925591e-007,-0.0947947
4.927591e-007,-0.0981611
4.929591e-007,-0.0972462
4.931591e-007,-0.0925332
4.933591e-007,-0.0897365
4.935591e-007,-0.0905997
4.937591e-007,-0.0935172
4.939591e-007,-0.096711
4.941591e-007,-0.0977468
4.943591e-007,-0.0949846
